,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2229,002837,英维克,0.0,0.0,0.0,0.0,0.0,19.38,0.0,0.0,0.0,45.07,5.858,392608.462548,132514.065918
2230,002836,新宏泽,0.0,0.0,0.0,0.0,0.0,19.15,0.0,0.0,0.0,63.833,7.046,306400.0,107944.72
2231,002835,同为股份,0.0,0.0,0.0,0.0,0.0,10.73,0.0,0.0,0.0,119.222,3.61,231768.0,91374.980368
2232,002833,弘亚数控,0.0,0.0,0.0,0.0,0.0,52.06,0.0,0.0,0.0,29.749,6.943,704382.212,277805.175
2233,002832,比音勒芬,0.0,0.0,0.0,0.0,0.0,72.19,0.0,0.0,0.0,42.716,5.041,770050.73,335466.93
2234,002831,裕同科技,0.0,0.0,0.0,0.0,0.0,46.62,0.0,0.0,0.0,20.011,3.645,1864846.62,557082.8928
2235,002830,名雕股份,0.0,0.0,0.0,0.0,0.0,23.03,0.0,0.0,0.0,59.051,5.204,307082.02,91751.52
2236,002829,星网宇达,0.0,0.0,0.0,0.0,0.0,26.35,0.0,0.0,0.0,64.268,5.343,426000.45,155490.02196
2237,002828,贝肯能源,0.0,0.0,0.0,0.0,0.0,30.58,0.0,0.0,0.0,50.967,4.131,366256.66,177394.58
2238,002827,高争民爆,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,32.5,4.379,358800.0,123135.675
2239,002826,易明医药,0.0,0.0,0.0,0.0,0.0,17.81,0.0,0.0,0.0,55.656,5.533,337891.32,179538.44246
2240,002825,纳尔股份,0.0,0.0,0.0,0.0,0.0,25.16,0.0,0.0,0.0,69.889,4.394,252379.96,73545.22116
2241,002824,和胜股份,0.0,0.0,0.0,0.0,0.0,15.52,0.0,0.0,0.0,41.957,3.75,279360.0,114917.34336
2242,002823,凯中精密,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,29.811,3.91,460463.32946,155761.39596
2243,002822,中装建设,0.0,0.0,0.0,0.0,0.0,7.27,0.0,0.0,0.0,26.926,2.112,436200.0,222505.62
2244,002821,凯莱英,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,54.305,8.895,1886842.1892,991693.732
2245,002820,桂发祥,0.0,0.0,0.0,0.0,0.0,19.75,0.0,0.0,0.0,27.431,2.368,404480.0,238279.96195
2246,002819,东方中科,0.0,0.0,0.0,0.0,0.0,28.53,0.0,0.0,0.0,141.729,7.381,323359.02,126135.788949
2247,002818,富森美,0.0,0.0,0.0,0.0,0.0,28.45,0.0,0.0,0.0,19.223,2.832,1251800.0,260374.4
2248,002817,黄山胶囊,0.0,0.0,0.0,0.0,0.0,28.51,0.0,0.0,0.0,52.796,3.651,247096.17,118430.54
2249,002816,和科达,0.0,0.0,0.0,0.0,0.0,18.37,0.0,0.0,0.0,114.813,3.5300000000000002,183700.0,105259.284372
2250,002815,崇达技术,0.0,0.0,0.0,0.0,0.0,17.88,0.0,0.0,0.0,16.514,2.939,1466160.0,379467.089808
2251,002813,路畅科技,0.0,0.0,0.0,0.0,0.0,33.56,0.0,0.0,0.0,167.8,6.056,402720.0,100680.0
