rule,totalCount,totalCountP,dateCount,dateCountP,d1cMean,d2cMean,d3cMean,d4cMean,d5cMean,d6cMean,d1hMean,d2hMean,d3hMean,d4hMean,d5hMean,d6hMean,day1cip,day1hip,day2cip,day2hip,day3cip,day3hip,day4cip,day4hip,day5cip,day5hip,day6cip,day6hip
rule+1-2-3-5-6+7+10,299,0.01,68,3.93,0.57,1.42,1.57,2.59,2.51,3.33,3.66,4.81,5.17,5.65,6.16,6.53,56.00000000000001,100.0,60.0,74.0,59.0,71.0,59.0,66.0,56.99999999999999,65.0,56.99999999999999,65.0
rule+1-2-3-5-6+10-11,9565,0.26,284,16.42,1.04,0.71,0.42,0.09,-0.07,-0.29,4.05,3.77,3.74,3.35,3.18,2.9,65.0,100.0,60.0,76.0,57.99999999999999,71.0,57.99999999999999,70.0,61.0,68.0,55.00000000000001,65.0
rule+1-2-3-5+7+10-11,1150,0.03,101,5.84,0.81,1.29,1.75,2.22,1.79,2.43,4.0,4.69,5.12,5.72,5.39,5.61,56.99999999999999,100.0,60.0,77.0,59.0,72.0,61.0,69.0,61.0,69.0,56.00000000000001,66.0
rule+1-2-3-6+7+10-11,347,0.01,64,3.6999999999999997,1.08,2.01,1.94,3.04,2.92,3.56,3.96,5.41,5.68,6.05,6.64,6.93,59.0,100.0,64.0,77.0,61.0,72.0,59.0,66.0,59.0,66.0,57.99999999999999,66.0
rule+1-2+4-5-6+7+10,2874,0.08,173,10.0,0.81,2.46,3.42,3.65,3.84,4.53,3.4,5.37,6.62,7.18,7.29,7.76,65.0,100.0,62.0,83.0,63.0,78.0,61.0,71.0,60.0,71.0,61.0,70.0
rule+1-2+4-5-6+10-11,3811,0.1,220,12.72,0.94,2.43,3.09,3.5,3.81,4.15,3.58,5.23,6.38,6.67,7.02,7.32,67.0,100.0,66.0,81.0,65.0,80.0,66.0,75.0,70.0,78.0,66.0,77.0
rule+1-2+4-5+7+10-11,3100,0.08,172,9.94,1.16,2.49,3.26,3.37,3.42,4.15,3.48,5.53,6.62,6.72,6.76,7.28,68.0,100.0,65.0,83.0,64.0,78.0,60.0,73.0,63.0,73.0,64.0,73.0
rule+1-2+4-6+7+10-11,2078,0.06,138,7.9799999999999995,1.19,3.23,3.69,3.72,3.53,4.1,3.52,6.16,7.35,7.31,7.13,7.34,72.0,100.0,66.0,86.0,65.0,79.0,60.0,72.0,61.0,71.0,62.0,72.0
rule+1-2-5-6+7+10-11,2079,0.06,149,8.61,1.02,2.85,3.24,3.15,2.91,3.51,3.49,5.79,6.92,6.77,6.53,6.72,68.0,100.0,64.0,85.0,62.0,77.0,57.99999999999999,70.0,57.99999999999999,68.0,59.0,68.0
rule+1-3+4-5-6+7+10,1967,0.05,164,9.48,0.7,2.97,4.23,5.42,5.78,6.14,2.99,5.57,7.21,8.45,9.39,9.67,66.0,100.0,68.0,81.0,64.0,76.0,64.0,74.0,64.0,71.0,65.0,74.0
rule+1-3+4-5-6+10-11,6314,0.16999999999999998,377,21.790000000000003,0.55,1.55,2.13,2.5,2.72,2.83,3.16,4.05,4.77,5.27,5.75,5.89,63.0,100.0,64.0,77.0,62.0,74.0,60.0,73.0,62.0,73.0,62.0,73.0
rule+1-3+4-5+7+10-11,4244,0.12,223,12.889999999999999,0.8,2.25,3.25,4.11,4.57,5.07,3.17,4.87,6.06,7.11,7.74,8.26,66.0,100.0,67.0,82.0,65.0,77.0,64.0,77.0,65.0,71.0,65.0,74.0
rule+1-3+4-6+7+10-11,2058,0.06,165,9.54,0.64,2.64,3.83,4.97,5.38,5.65,3.11,5.35,6.93,8.07,8.92,9.35,67.0,100.0,67.0,79.0,63.0,76.0,64.0,74.0,63.0,71.0,64.0,74.0
rule+1-3-5-6+7+10-11,2185,0.06,176,10.17,0.68,2.73,4.06,5.03,5.23,5.61,3.05,5.35,6.96,8.08,8.8,9.08,66.0,100.0,65.0,81.0,63.0,76.0,63.0,75.0,62.0,71.0,63.0,73.0
rule+1+4-5-6+7+10-11,5040,0.13999999999999999,235,13.58,0.9,2.66,3.5,4.14,4.29,4.76,3.12,5.31,6.61,7.3,7.64,8.02,67.0,100.0,66.0,83.0,62.0,80.0,60.0,72.0,60.0,71.0,59.0,71.0
rule-2-3+4-5-6+7+10,20216,0.5499999999999999,1161,67.11,0.14,0.22,0.14,-0.02,-0.21,-0.27,1.78,1.94,1.96,1.85,1.68,1.56,55.00000000000001,100.0,56.00000000000001,78.0,56.00000000000001,73.0,53.0,69.0,52.0,66.0,52.0,65.0
rule-2-3+4-5-6+10-11,127562,3.46,1681,97.17,0.23,0.29,0.27,0.2,0.11,0.03,2.11,2.26,2.3,2.25,2.2,2.12,59.0,100.0,57.99999999999999,85.0,57.99999999999999,78.0,56.00000000000001,74.0,56.00000000000001,71.0,54.0,69.0
rule-2-3+4-5+7+10-11,39972,1.08,1321,76.36,0.22,0.31,0.26,0.15,-0.03,-0.13,1.9,2.07,2.11,2.03,1.88,1.78,55.00000000000001,100.0,56.99999999999999,81.0,56.00000000000001,75.0,54.0,71.0,54.0,68.0,53.0,66.0
rule-2-3+4-6+7+10-11,18574,0.5,1119,64.68,0.13,0.24,0.18,0.04,-0.16,-0.2,1.81,1.97,2.01,1.93,1.75,1.64,54.0,100.0,56.99999999999999,78.0,56.99999999999999,73.0,53.0,69.0,53.0,66.0,53.0,65.0
rule-2-3-5-6+7+10-11,40177,1.09,1328,76.75999999999999,0.13,0.25,0.18,0.08,-0.01,-0.06,1.76,1.93,1.97,1.89,1.82,1.73,54.0,100.0,56.99999999999999,80.0,56.99999999999999,73.0,55.00000000000001,70.0,55.00000000000001,68.0,55.00000000000001,67.0
rule-2+4-5-6+7+10-11,52727,1.43,1300,75.14,0.17,0.35,0.32,0.16,-0.01,-0.04,1.83,2.11,2.22,2.09,1.91,1.85,55.00000000000001,100.0,55.00000000000001,80.0,56.00000000000001,73.0,54.0,70.0,53.0,67.0,52.0,65.0
rule-3+4-5-6+7+10-11,29525,0.8,1224,70.75,0.17,0.43,0.53,0.47,0.27,0.21,1.8,2.15,2.37,2.39,2.25,2.14,56.00000000000001,100.0,56.00000000000001,79.0,56.00000000000001,74.0,54.0,69.0,53.0,66.0,52.0,66.0
rule+1-2-3+4-5-6+7+10,170,0.0,49,2.83,1.07,2.78,3.37,5.08,5.57,6.64,3.85,5.97,6.92,7.91,9.1,9.85,61.0,100.0,69.0,82.0,67.0,76.0,67.0,76.0,67.0,73.0,67.0,76.0
rule+1-2-3+4-5-6+10-11,1361,0.04,140,8.09,0.91,1.97,2.85,3.36,3.95,4.48,4.04,5.05,6.06,6.42,7.08,7.84,64.0,100.0,66.0,76.0,66.0,76.0,67.0,77.0,74.0,81.0,72.0,81.0
rule+1-2-3+4-5+7+10-11,748,0.02,65,3.7600000000000002,1.47,2.02,3.16,3.99,4.05,5.32,4.39,5.72,6.44,7.46,7.74,8.51,66.0,100.0,66.0,82.0,68.0,75.0,66.0,75.0,68.0,75.0,66.0,72.0
rule+1-2-3+4-6+7+10-11,177,0.0,43,2.4899999999999998,1.63,3.49,3.89,5.76,6.3,7.41,4.13,6.67,7.65,8.57,9.83,10.8,67.0,100.0,74.0,86.0,70.0,77.0,70.0,74.0,70.0,77.0,70.0,79.0
rule+1-2-3-5-6+7+10-11,289,0.01,62,3.58,0.87,1.7,1.73,2.82,2.71,3.49,3.82,5.08,5.44,5.86,6.42,6.82,57.99999999999999,100.0,61.0,76.0,57.99999999999999,71.0,60.0,66.0,57.99999999999999,66.0,57.99999999999999,66.0
rule+1-2+4-5-6+7+10-11,1949,0.05,136,7.86,1.2,3.17,3.61,3.59,3.43,4.05,3.51,6.11,7.3,7.23,7.01,7.26,72.0,100.0,66.0,86.0,65.0,79.0,60.0,72.0,61.0,71.0,62.0,72.0
rule+1-3+4-5-6+7+10-11,1951,0.05,161,9.31,0.72,2.99,4.3,5.49,5.88,6.21,3.01,5.61,7.3,8.55,9.5,9.81,67.0,100.0,68.0,81.0,65.0,76.0,65.0,75.0,65.0,72.0,65.0,75.0
rule-2-3+4-5-6+7+10-11,18278,0.5,1113,64.34,0.12,0.23,0.17,0.02,-0.18,-0.22,1.79,1.95,2.0,1.9,1.72,1.61,54.0,100.0,56.99999999999999,78.0,56.99999999999999,73.0,53.0,69.0,53.0,66.0,53.0,65.0
rule+1-2-3+4-5-6+7+10-11,160,0.0,43,2.4899999999999998,1.59,3.49,3.94,5.81,6.34,7.4,4.11,6.63,7.67,8.6,9.91,10.79,67.0,100.0,72.0,86.0,67.0,77.0,70.0,77.0,70.0,77.0,70.0,79.0
